tichet,single,card,male,age,fc,gomi,goshuin
0,1,1,1,1,0.008219178,0,0
0,1,1,1,0,1.394520548,1,0
0,1,0,0,0,0.005479452,0,0
0,0,0,1,1,0.219178082,0,0
0,0,1,0,0,0.054794521,0,1
0,0,1,1,1,0.704109589,0,0
0,1,0,1,1,0,0,0
0,1,1,1,0,3.287671233,0,0
0,0,1,1,0,0,0,0
0,0,1,1,0,3.561643836,0,0
0,0,1,1,1,0.547945205,1,1
0,1,1,1,1,1.545205479,1,1
0,1,1,1,0,1.917808219,0,0
0,0,0,0,1,0.95890411,0,0
0,1,1,1,0,2.147945205,0,0
0,0,0,1,1,0.821917808,0,0
0,0,1,1,0,1.369863014,0,0
0,1,1,1,0,3.961643836,1,0
0,1,1,1,0,4,0,1
0,0,1,1,0,2.739726027,0,0
0,1,0,1,0,0,0,1
0,0,1,0,0,0.493150685,0,0
0,0,1,0,0,3.835616438,0,1
0,0,1,1,1,3.164383562,0,0
0,1,0,1,1,0.246575342,0,0
0,1,1,1,0,3.961643836,1,0
0,1,0,1,1,0.698630137,0,0
0,0,0,1,1,1.057534247,0,0
0,0,0,1,1,1,0,0
0,1,0,1,1,0.712328767,0,0
0,1,1,1,1,0.465753425,0,0
0,0,0,1,1,2.347945205,0,0
0,1,0,1,1,1.898630137,0,0
0,0,1,1,0,1.660273973,1,0
0,0,1,1,1,0.821917808,0,0
0,1,1,1,0,2.104109589,0,0
0,1,1,1,0,1.506849315,1,0
0,0,0,1,1,1.04109589,1,0
0,0,1,1,1,1.095890411,0,0
0,0,0,1,1,0.479452055,0,0
0,1,0,1,0,3.534246575,0,1
0,1,1,1,1,1.369863014,0,1
0,0,1,1,1,0.054794521,0,0
0,1,1,1,0,0.008219178,0,0
0,0,0,1,0,2.191780822,0,0
0,0,0,0,1,0.98630137,0,0
0,0,1,1,1,1.917808219,0,0
0,1,0,1,0,1.643835616,0,0
0,0,1,1,1,1.917808219,0,0
0,1,1,1,0,0,0,0
0,0,1,0,0,1.095890411,0,0
0,0,0,1,1,0.082191781,0,0
0,1,0,1,1,0.347945205,1,0
0,0,1,1,0,2.739726027,1,0
0,0,1,1,0,3.643835616,0,0
0,1,0,0,1,1.643835616,0,0
0,0,1,1,0,1.232876712,0,1
0,0,0,1,0,0.978082192,0,0
0,1,0,1,0,0.624657534,0,0
0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0
0,1,1,0,0,3.84109589,0,0
0,0,1,1,1,0.547945205,0,0
0,1,0,1,1,0.750684932,0,0
0,0,0,1,1,0.95890411,1,0
0,0,1,0,1,2.82739726,0,0
0,0,1,1,0,1.095890411,1,0
0,0,0,1,1,1,0,0
0,1,1,1,0,1.917808219,1,1
0,0,1,1,0,0.547945205,0,0
0,1,1,1,0,2.449315068,1,0
0,0,1,0,1,0,0,0
0,1,1,0,0,1.643835616,0,0
0,1,1,1,0,3.835616438,0,0
0,1,0,1,1,0.002739726,0,0
0,0,1,0,1,1.04109589,0,0
0,0,1,1,0,0.279452055,0,0
0,0,1,1,1,1.095890411,0,0
0,0,1,1,1,3.01369863,1,0
0,1,1,1,0,1.643835616,0,0
0,1,1,1,1,1.219178082,0,0
0,0,0,1,1,0.410958904,0,0
0,0,0,1,1,0.410958904,0,0
0,1,0,1,1,0,1,0
0,0,0,0,1,0.98630137,0,0
0,0,1,1,0,0.493150685,0,0
0,1,1,1,0,0.320547945,0,0
0,0,1,1,0,3.287671233,0,0
0,1,1,1,0,3.561643836,0,0
0,0,0,1,0,0.657534247,0,0
0,0,1,1,1,1,0,0
0,1,1,1,0,3.449315068,0,0
0,0,1,1,1,0.821917808,0,0
0,0,1,1,0,2.739726027,0,0
0,0,0,1,1,0.98630137,0,0
0,0,1,1,0,1.369863014,0,0
0,1,1,1,0,3.843835616,0,0
0,1,0,1,1,0.438356164,0,0
0,1,0,1,0,0.301369863,0,0
0,0,1,1,1,1.917808219,0,0
0,1,1,1,0,1.164383562,0,0
0,1,1,1,0,0.010958904,0,0
0,0,1,1,1,0,0,0
0,1,0,1,0,2.408219178,0,0
0,0,1,1,1,0.493150685,0,0
0,1,1,1,0,0.082191781,1,1
0,0,1,0,1,0.98630137,0,0
0,0,1,0,1,2.991780822,0,0
0,0,1,1,0,1.917808219,0,1
0,0,1,1,1,1.095890411,0,0
0,1,0,1,0,3.561643836,0,0
0,1,0,1,1,1.095890411,1,0
0,1,1,1,1,0.054794521,1,1
0,0,1,1,1,3.01369863,0,0
0,1,0,1,1,1.369863014,0,0
0,0,1,1,1,2.191780822,1,0
0,0,0,1,1,0.575342466,1,0
0,1,1,1,0,0.010958904,0,0
0,1,1,1,0,1.232876712,0,0
0,1,0,1,1,0,0,0
0,0,1,1,1,1.04109589,0,0
0,0,1,1,1,3.852054795,0,0
0,1,1,1,0,2.808219178,1,0
0,0,1,1,1,0.821917808,0,0
0,0,0,1,0,0.904109589,0,0
0,1,1,1,0,3.961643836,0,0
0,1,0,0,1,0.98630137,0,0
0,0,1,1,0,0,0,0
0,0,1,1,1,3.835616438,0,0
0,1,1,1,0,2.553424658,0,0
0,0,0,1,1,3.446575342,0,0
0,0,1,1,0,1.547945205,1,0
0,0,1,0,0,0,0,1
0,0,1,1,0,0.95890411,0,0
0,1,0,0,1,0.002739726,0,0
0,0,1,1,0,1.095890411,0,0
0,1,0,1,0,0,0,0
0,0,1,1,0,0.95890411,0,0
0,0,1,1,1,1.698630137,0,1
0,0,1,1,0,3.961643836,0,1
0,1,1,1,0,1.01369863,0,0
0,1,1,1,1,3.449315068,0,1
0,0,1,1,1,0.95890411,1,0
0,1,0,1,0,2.739726027,0,0
0,1,0,1,0,1.780821918,1,0
0,1,1,1,0,3.01369863,0,0
0,0,1,1,1,1.01369863,0,0
0,1,1,1,0,1.01369863,0,0
0,1,0,1,0,3.443835616,0,0
0,0,0,0,1,0.438356164,0,0
0,1,1,1,0,0.410958904,0,0
0,1,1,1,0,3.961643836,0,1
0,1,0,1,1,0.02739726,0,0
0,0,1,0,0,0.002739726,0,0
0,1,1,1,0,3.238356164,1,0
0,1,1,1,0,2.739726027,0,0
0,0,1,1,1,3.961643836,0,0
0,0,1,1,1,0.04109589,0,0
0,0,1,0,1,1.369863014,0,0
0,1,1,1,0,1.095890411,0,0
0,1,0,1,0,1.331506849,0,0
0,1,0,1,0,3.282191781,0,0
0,1,0,1,1,0.178082192,0,0
0,1,1,1,0,2.509589041,1,0
0,0,1,0,0,1.408219178,0,0
0,0,1,1,0,2.128767123,0,1
0,0,1,1,1,2.465753425,0,0
0,0,1,1,0,3.424657534,0,1
0,1,1,1,0,3.917808219,1,1
0,0,1,1,0,3.961643836,0,0
0,1,0,1,0,0.405479452,0,0
0,0,0,1,1,2.739726027,0,0
0,0,1,1,1,0.630136986,0,1
0,1,1,1,0,2.498630137,0,0
0,1,1,1,1,1.506849315,0,0
0,0,1,1,0,3.517808219,0,0
0,1,1,1,0,2.989041096,0,0
0,0,0,1,1,3.287671233,0,0
0,0,1,1,0,3.446575342,0,0
0,0,1,0,0,3.115068493,0,0
0,1,1,1,0,3.353424658,0,0
0,1,1,1,0,0,0,0
0,0,1,1,0,2.715068493,0,0
0,0,1,0,1,1,0,0
0,1,1,1,0,0.98630137,0,0
0,0,1,0,0,0.547945205,0,0
0,1,1,1,0,3.84109589,1,0
0,1,1,1,1,1.095890411,0,0
0,1,0,1,0,2.739726027,0,0
0,0,1,1,0,0.98630137,0,0
0,0,1,1,1,0.008219178,0,1
0,1,0,0,1,2.071232877,0,0
0,0,0,1,1,1.191780822,0,0
0,1,0,1,0,0.019178082,0,0
0,1,0,1,1,0.605479452,0,0
0,0,1,1,0,0.95890411,0,0
0,0,1,0,1,2.739726027,0,0
0,0,1,1,1,1.093150685,0,0
0,0,1,1,0,0.95890411,1,0
0,0,1,1,0,0,0,0
0,1,1,1,0,1.095890411,0,0
0,0,1,1,0,0.493150685,0,0
0,1,1,1,0,0.008219178,0,0
0,0,1,1,0,1.668493151,0,0
0,0,1,1,0,0,0,0
0,0,1,1,0,2.739726027,0,0
0,0,1,1,0,1.369863014,0,0
0,1,0,1,1,1.846575342,0,0
0,1,0,1,1,0.273972603,0,0
0,0,1,1,0,3.961643836,0,0
0,1,0,1,1,1.282191781,1,0
0,0,1,1,1,3.835616438,0,1
0,1,1,1,0,0,0,0
0,1,0,0,1,2.090410959,0,0
0,0,1,0,0,1.490410959,0,1
0,0,0,1,0,2.465753425,0,0
0,0,1,1,0,3.268493151,0,0
0,0,0,1,1,1.24109589,0,0
0,0,1,1,0,1.323287671,0,0
0,0,1,1,0,3.835616438,0,0
0,0,0,1,0,1.495890411,0,0
0,0,1,0,0,3.835616438,1,0
0,1,1,1,0,2.284931507,0,1
0,1,0,1,0,3.153424658,0,0
0,0,1,1,1,0.821917808,1,0
0,0,1,1,0,3.01369863,1,0
0,0,1,1,1,0,0,0
0,0,1,1,0,1.871232877,0,0
0,0,1,0,1,1.095890411,0,0
0,1,1,1,1,2.928767123,0,0
0,1,1,1,0,1.435616438,0,0
0,1,1,1,0,2.01369863,0,1
0,1,1,1,1,2.260273973,0,0
0,1,1,1,0,2.975342466,0,0
0,1,0,1,1,1.04109589,0,0
0,1,1,1,0,1.369863014,0,0
0,0,0,1,0,3.438356164,0,0
0,1,1,1,1,0.945205479,0,1
0,0,1,0,1,1.260273973,0,0
0,1,1,0,1,3.835616438,0,0
0,0,1,0,0,3.287671233,0,1
0,1,1,1,0,0.317808219,1,0
0,0,1,1,0,3.095890411,0,0
0,1,0,1,1,0.465753425,0,1
0,1,1,1,0,0.961643836,0,0
0,0,0,0,0,0.008219178,0,0
0,1,1,1,1,3.961643836,1,0
0,1,1,1,0,1.506849315,0,0
0,1,0,1,1,1.534246575,0,0
0,0,0,1,1,2.739726027,0,0
0,1,1,1,0,4.383561644,0,0
0,0,0,1,1,1.095890411,0,0
0,1,0,1,0,0.98630137,0,0
0,0,0,1,0,3.843835616,0,0
0,1,1,1,0,1.643835616,1,0
0,0,1,1,1,0.493150685,0,0
0,0,0,0,0,3.961643836,0,0
0,1,1,1,0,3.287671233,1,0
0,0,1,1,1,2.095890411,0,0
0,0,1,1,0,1,0,1
0,0,0,1,1,1.684931507,1,0
0,0,1,1,0,3.01369863,0,1
0,0,1,1,0,0.328767123,1,0
0,0,1,0,1,1.04109589,0,0
0,0,0,0,1,0.547945205,1,0
0,1,1,1,0,3.961643836,0,0
0,1,1,1,0,2.389041096,0,0
0,0,1,1,0,1.095890411,1,0
0,0,0,0,1,0.520547945,0,0
0,1,1,1,0,2.863013699,1,0
0,0,1,1,0,3.835616438,0,0
0,1,0,1,0,0,0,0
0,1,1,1,1,1.01369863,0,0
0,1,1,1,0,3.961643836,1,0
0,0,1,1,1,0.547945205,0,0
0,0,0,1,1,0.194520548,0,0
0,1,0,1,1,0.520547945,0,0
0,1,0,1,0,2.465753425,0,0
0,0,0,1,1,1.643835616,0,0
0,0,1,1,0,3.961643836,0,0
0,1,1,1,0,3.835616438,0,0
0,1,1,0,0,3.961643836,0,1
0,0,0,1,1,1.917808219,1,0
0,1,0,1,0,3.956164384,0,0
0,0,0,1,1,0.082191781,0,0
0,0,1,1,1,3.01369863,0,1
0,0,1,1,0,0.931506849,0,0
0,0,1,1,0,1,1,0
0,1,0,1,1,3.252054795,0,0
0,1,0,1,1,0.810958904,1,0
0,0,1,1,1,1.095890411,1,1
0,0,1,1,1,3.287671233,0,0
0,1,0,0,1,1.068493151,0,0
0,1,1,1,0,3.452054795,1,1
0,1,0,1,0,1.947945205,0,0
0,0,0,0,1,1.917808219,0,1
0,0,0,1,1,0.575342466,0,0
0,0,1,0,1,1.506849315,0,0
0,0,0,1,1,1.150684932,0,0
0,1,0,0,1,0.602739726,0,0
0,0,1,1,0,2.465753425,0,0
0,0,0,1,1,2.126027397,0,0
0,0,1,1,1,3.457534247,0,0
0,0,0,0,0,3.838356164,0,0
0,1,1,1,0,2.739726027,0,0
0,0,1,1,1,1.268493151,0,0
0,1,0,1,1,1,0,0
0,0,0,1,0,2.109589041,0,0
0,0,1,0,0,0.821917808,0,0
0,1,1,1,0,3.961643836,0,0
0,0,0,0,1,0.246575342,0,0
0,1,1,1,0,1.095890411,1,0
0,1,1,1,0,2.95890411,0,1
0,0,1,1,0,1.917808219,0,0
0,0,1,1,0,1.095890411,0,0
0,0,0,1,1,0.038356164,0,0
0,1,1,1,0,1.917808219,0,0
0,0,0,1,1,1.643835616,0,0
0,1,1,1,0,0.515068493,0,1
0,1,0,0,1,1.090410959,0,0
0,1,1,1,1,2.071232877,0,0
0,1,1,1,0,3.408219178,0,1
0,0,0,1,1,1,0,0
0,0,0,1,0,3.287671233,0,0
0,0,1,1,0,3.945205479,1,1
0,1,0,1,1,0.246575342,1,0
0,1,0,1,1,0.95890411,0,0
0,0,1,1,0,1,0,0
0,0,0,0,1,0.084931507,0,0
0,0,1,1,0,0.523287671,1,0
0,1,0,1,0,0.95890411,0,0
0,0,1,0,1,1.369863014,0,0
0,0,1,0,1,1.232876712,0,0
0,1,0,1,0,2.136986301,0,0
0,1,0,1,0,0.95890411,0,0
0,0,1,1,0,2.175342466,0,1
0,1,1,1,0,0.008219178,0,0
